纬度,经度,地点,项目,形式
33.955,135.739,十津川,/H/ 调移动,否
34.094,134.578,东四国,/H/ 调移动,左移
33.544,133.508,南四国,/H/ 调移动,左移
33.815,132.732,西四国,/H/ 调移动,否
34.374,132.439,中国,/H/ 调移动,否
33.163,131.671,东北九州（两丰）,/H/ 调移动,否
32.334,131.605,东南九州（日向）,/H/ 调移动,否
32.779,130.714,西九州（肥筑）,/H/ 调移动,否
31.498,130.946,南九州（萨隅）,/H/ 调移动,否
28.358,129.396,北琉球（奄美）,/H/ 调移动,否
26.22,127.715,北琉球（冲绳）,/H/ 调移动,否
24.794,125.293,南琉球（宫古）,/H/ 调移动,否
24.345,124.159,南琉球（八重山）,/H/ 调移动,否
41.286,141.212,下北半岛,词调化,否
40.195,141.762,东岩手,词调化,否
35.196,133.449,出云周边（东）,词调化,否
35.034,132.381,出云周边（西）,词调化,否
40.142,140.804,北东北,词调化,否
38.244,140.94,南东北,词调化,否
36.378,140.457,东关东,词调化,否
35.3606 ,132.7739 ,中央出云,词调化,否
34.7431 ,139.2376 ,北部伊豆,词调化,否
33.066,139.813,八丈,词调化,否
35.419,139.629,西关东,词调化,否
35.699,140.851,房总半岛,词调化,否
37.362,138.553,越后,词调化,否
36.398,138.251,长山东静,词调化,否
34.763,137.874,西静冈,词调化,否
36.699,137.205,富山,词调化,否
36.593,136.593,石川,词调化,否
35.471,136.777,岐爱,词调化,否
35.01,135.755,近畿,词调化,否
33.955,135.739,十津川,词调化,否
34.094,134.578,东四国,词调化,否
33.544,133.508,南四国,词调化,否
33.815,132.732,西四国,词调化,否
34.374,132.439,中国,词调化,否
33.163,131.671,东北九州（两丰）,词调化,否
32.334,131.605,东南九州（日向）,词调化,否
32.779,130.714,西九州（肥筑）,词调化,二型声调
31.498,130.946,南九州（萨隅）,词调化,二型声调
28.358,129.396,北琉球（奄美）,词调化,三型声调
26.22,127.715,北琉球（冲绳）,词调化,三型声调
24.794,125.293,南琉球（宫古）,词调化,三型声调
24.345,124.159,南琉球（八重山）,词调化,三型声调
41.286,141.212,下北半岛,"2.3, 2.4/5 调类分裂",否
40.195,141.762,东岩手,"2.3, 2.4/5 调类分裂",否
35.196,133.449,出云周边（东）,"2.3, 2.4/5 调类分裂",否
35.034,132.381,出云周边（西）,"2.3, 2.4/5 调类分裂",否
40.142,140.804,北东北,"2.3, 2.4/5 调类分裂",否
38.244,140.94,南东北,"2.3, 2.4/5 调类分裂",否
36.378,140.457,东关东,"2.3, 2.4/5 调类分裂",否
35.3606 ,132.7739 ,中央出云,"2.3, 2.4/5 调类分裂",否
34.7431 ,139.2376 ,北部伊豆,"2.3, 2.4/5 调类分裂",否
33.066,139.813,八丈,"2.3, 2.4/5 调类分裂",否
35.419,139.629,西关东,"2.3, 2.4/5 调类分裂",否
35.699,140.851,房总半岛,"2.3, 2.4/5 调类分裂",否
37.362,138.553,越后,"2.3, 2.4/5 调类分裂",否
36.398,138.251,长山东静,"2.3, 2.4/5 调类分裂",否
34.763,137.874,西静冈,"2.3, 2.4/5 调类分裂",否
36.699,137.205,富山,"2.3, 2.4/5 调类分裂",否
36.593,136.593,石川,"2.3, 2.4/5 调类分裂",否
35.471,136.777,岐爱,"2.3, 2.4/5 调类分裂",否
35.01,135.755,近畿,"2.3, 2.4/5 调类分裂",否
33.955,135.739,十津川,"2.3, 2.4/5 调类分裂",否
34.094,134.578,东四国,"2.3, 2.4/5 调类分裂",否
33.544,133.508,南四国,"2.3, 2.4/5 调类分裂",否
33.815,132.732,西四国,"2.3, 2.4/5 调类分裂",否
34.374,132.439,中国,"2.3, 2.4/5 调类分裂",否
33.163,131.671,东北九州（两丰）,"2.3, 2.4/5 调类分裂",否
32.334,131.605,东南九州（日向）,"2.3, 2.4/5 调类分裂",否
32.779,130.714,西九州（肥筑）,"2.3, 2.4/5 调类分裂",否
31.498,130.946,南九州（萨隅）,"2.3, 2.4/5 调类分裂",否
28.358,129.396,北琉球（奄美）,"2.3, 2.4/5 调类分裂",是
26.22,127.715,北琉球（冲绳）,"2.3, 2.4/5 调类分裂",是
24.794,125.293,南琉球（宫古）,"2.3, 2.4/5 调类分裂",是
24.345,124.159,南琉球（八重山）,"2.3, 2.4/5 调类分裂",是
41.286,141.212,下北半岛,动词否定,=anai 系
40.195,141.762,东岩手,动词否定,=anai 系
35.196,133.449,出云周边（东）,动词否定,=an(u) 系
35.034,132.381,出云周边（西）,动词否定,=an(u) 系
40.142,140.804,北东北,动词否定,=anai 系
38.244,140.94,南东北,动词否定,=anai 系
36.378,140.457,东关东,动词否定,=anai 系
35.3606 ,132.7739 ,中央出云,动词否定,=an(u) 系
34.7431 ,139.2376 ,北部伊豆,动词否定,=anai 系
33.066,139.813,八丈,动词否定,=anai 系
35.419,139.629,西关东,动词否定,=anai 系
35.699,140.851,房总半岛,动词否定,=anai 系
37.362,138.553,越后,动词否定,=anai 系
36.398,138.251,长山东静,动词否定,=anai 系
34.763,137.874,西静冈,动词否定,=anai 系
36.699,137.205,富山,动词否定,=an(u) 系
36.593,136.593,石川,动词否定,=an(u) 系
35.471,136.777,岐爱,动词否定,=an(u) 系
35.01,135.755,近畿,动词否定,=an(u) 系
33.955,135.739,十津川,动词否定,=an(u) 系
34.094,134.578,东四国,动词否定,=an(u) 系
33.544,133.508,南四国,动词否定,=an(u) 系
33.815,132.732,西四国,动词否定,=an(u) 系
34.374,132.439,中国,动词否定,=an(u) 系
33.163,131.671,东北九州（两丰）,动词否定,=an(u) 系
32.334,131.605,东南九州（日向）,动词否定,=an(u) 系
32.779,130.714,西九州（肥筑）,动词否定,=an(u) 系
31.498,130.946,南九州（萨隅）,动词否定,=an(u) 系
28.358,129.396,北琉球（奄美）,动词否定,=an(u) 系
26.22,127.715,北琉球（冲绳）,动词否定,=an(u) 系
24.794,125.293,南琉球（宫古）,动词否定,=an(u) 系
24.345,124.159,南琉球（八重山）,动词否定,=an(u) 系
41.286,141.212,下北半岛,元音型动词命令形,=ro
40.195,141.762,东岩手,元音型动词命令形,=ro
35.196,133.449,出云周边（东）,元音型动词命令形,元音延长
35.034,132.381,出云周边（西）,元音型动词命令形,元音延长
40.142,140.804,北东北,元音型动词命令形,=re
38.244,140.94,南东北,元音型动词命令形,=ro
36.378,140.457,东关东,元音型动词命令形,=ro
35.3606 ,132.7739 ,中央出云,元音型动词命令形,=re/元音延长
34.7431 ,139.2376 ,北部伊豆,元音型动词命令形,=ro
33.066,139.813,八丈,元音型动词命令形,=ro
35.419,139.629,西关东,元音型动词命令形,=ro
35.699,140.851,房总半岛,元音型动词命令形,=ro
37.362,138.553,越后,元音型动词命令形,=ro
36.398,138.251,长山东静,元音型动词命令形,=ro
34.763,137.874,西静冈,元音型动词命令形,=ro
36.699,137.205,富山,元音型动词命令形,元音延长
36.593,136.593,石川,元音型动词命令形,元音延长
35.471,136.777,岐爱,元音型动词命令形,=yo
35.01,135.755,近畿,元音型动词命令形,=yo
33.955,135.739,十津川,元音型动词命令形,=re
34.094,134.578,东四国,元音型动词命令形,=yo/元音延长
33.544,133.508,南四国,元音型动词命令形,=yo/元音延长
33.815,132.732,西四国,元音型动词命令形,=yo/元音延长
34.374,132.439,中国,元音型动词命令形,元音延长
33.163,131.671,东北九州（两丰）,元音型动词命令形,=re
32.334,131.605,东南九州（日向）,元音型动词命令形,=yo/元音延长
32.779,130.714,西九州（肥筑）,元音型动词命令形,=re
31.498,130.946,南九州（萨隅）,元音型动词命令形,元音延长
28.358,129.396,北琉球（奄美）,元音型动词命令形,=ro/=re
26.22,127.715,北琉球（冲绳）,元音型动词命令形,=ro/=re
24.794,125.293,南琉球（宫古）,元音型动词命令形,=ro/=re
24.345,124.159,南琉球（八重山）,元音型动词命令形,=ro/=re
41.286,141.212,下北半岛,保留形容词连体形 =ke,否
40.195,141.762,东岩手,保留形容词连体形 =ke,否
35.196,133.449,出云周边（东）,保留形容词连体形 =ke,否
35.034,132.381,出云周边（西）,保留形容词连体形 =ke,否
40.142,140.804,北东北,保留形容词连体形 =ke,否
38.244,140.94,南东北,保留形容词连体形 =ke,否
36.378,140.457,东关东,保留形容词连体形 =ke,否
35.3606 ,132.7739 ,中央出云,保留形容词连体形 =ke,否
34.7431 ,139.2376 ,北部伊豆,保留形容词连体形 =ke,否
33.066,139.813,八丈,保留形容词连体形 =ke,是
35.419,139.629,西关东,保留形容词连体形 =ke,否
35.699,140.851,房总半岛,保留形容词连体形 =ke,否
37.362,138.553,越后,保留形容词连体形 =ke,是（秋山郷）
36.398,138.251,长山东静,保留形容词连体形 =ke,否
34.763,137.874,西静冈,保留形容词连体形 =ke,否
36.699,137.205,富山,保留形容词连体形 =ke,否
36.593,136.593,石川,保留形容词连体形 =ke,否
35.471,136.777,岐爱,保留形容词连体形 =ke,否
35.01,135.755,近畿,保留形容词连体形 =ke,否
33.955,135.739,十津川,保留形容词连体形 =ke,否
34.094,134.578,东四国,保留形容词连体形 =ke,否
33.544,133.508,南四国,保留形容词连体形 =ke,否
33.815,132.732,西四国,保留形容词连体形 =ke,否
34.374,132.439,中国,保留形容词连体形 =ke,否
33.163,131.671,东北九州（两丰）,保留形容词连体形 =ke,否
32.334,131.605,东南九州（日向）,保留形容词连体形 =ke,否
32.779,130.714,西九州（肥筑）,保留形容词连体形 =ke,否
31.498,130.946,南九州（萨隅）,保留形容词连体形 =ke,否
28.358,129.396,北琉球（奄美）,保留形容词连体形 =ke,否
26.22,127.715,北琉球（冲绳）,保留形容词连体形 =ke,否
24.794,125.293,南琉球（宫古）,保留形容词连体形 =ke,否
24.345,124.159,南琉球（八重山）,保留形容词连体形 =ke,否
41.286,141.212,下北半岛,保留动词连体形尾 =o,否
40.195,141.762,东岩手,保留动词连体形尾 =o,否
35.196,133.449,出云周边（东）,保留动词连体形尾 =o,否
35.034,132.381,出云周边（西）,保留动词连体形尾 =o,否
40.142,140.804,北东北,保留动词连体形尾 =o,否
38.244,140.94,南东北,保留动词连体形尾 =o,否
36.378,140.457,东关东,保留动词连体形尾 =o,否
35.3606 ,132.7739 ,中央出云,保留动词连体形尾 =o,否
34.7431 ,139.2376 ,北部伊豆,保留动词连体形尾 =o,否
33.066,139.813,八丈,保留动词连体形尾 =o,是
35.419,139.629,西关东,保留动词连体形尾 =o,否
35.699,140.851,房总半岛,保留动词连体形尾 =o,否
37.362,138.553,越后,保留动词连体形尾 =o,是（秋山郷）
36.398,138.251,长山东静,保留动词连体形尾 =o,否
34.763,137.874,西静冈,保留动词连体形尾 =o,否
36.699,137.205,富山,保留动词连体形尾 =o,否
36.593,136.593,石川,保留动词连体形尾 =o,否
35.471,136.777,岐爱,保留动词连体形尾 =o,否
35.01,135.755,近畿,保留动词连体形尾 =o,否
33.955,135.739,十津川,保留动词连体形尾 =o,否
34.094,134.578,东四国,保留动词连体形尾 =o,否
33.544,133.508,南四国,保留动词连体形尾 =o,否
33.815,132.732,西四国,保留动词连体形尾 =o,否
34.374,132.439,中国,保留动词连体形尾 =o,否
33.163,131.671,东北九州（两丰）,保留动词连体形尾 =o,否
32.334,131.605,东南九州（日向）,保留动词连体形尾 =o,否
32.779,130.714,西九州（肥筑）,保留动词连体形尾 =o,否
31.498,130.946,南九州（萨隅）,保留动词连体形尾 =o,否
28.358,129.396,北琉球（奄美）,保留动词连体形尾 =o,是
26.22,127.715,北琉球（冲绳）,保留动词连体形尾 =o,是
24.794,125.293,南琉球（宫古）,保留动词连体形尾 =o,是
24.345,124.159,南琉球（八重山）,保留动词连体形尾 =o,是
41.286,141.212,下北半岛,ワ（ハ）行四段动词连用形的音便,促音便
40.195,141.762,东岩手,ワ（ハ）行四段动词连用形的音便,促音便
35.196,133.449,出云周边（东）,ワ（ハ）行四段动词连用形的音便,促音便
35.034,132.381,出云周边（西）,ワ（ハ）行四段动词连用形的音便,促音便
40.142,140.804,北东北,ワ（ハ）行四段动词连用形的音便,促音便
38.244,140.94,南东北,ワ（ハ）行四段动词连用形的音便,促音便
36.378,140.457,东关东,ワ（ハ）行四段动词连用形的音便,促音便
35.3606 ,132.7739 ,中央出云,ワ（ハ）行四段动词连用形的音便,促音便
34.7431 ,139.2376 ,北部伊豆,ワ（ハ）行四段动词连用形的音便,促音便
33.066,139.813,八丈,ワ（ハ）行四段动词连用形的音便,促音便
35.419,139.629,西关东,ワ（ハ）行四段动词连用形的音便,促音便
35.699,140.851,房总半岛,ワ（ハ）行四段动词连用形的音便,促音便
37.362,138.553,越后,ワ（ハ）行四段动词连用形的音便,促音便
36.398,138.251,长山东静,ワ（ハ）行四段动词连用形的音便,促音便
34.763,137.874,西静冈,ワ（ハ）行四段动词连用形的音便,促音便
36.699,137.205,富山,ワ（ハ）行四段动词连用形的音便,ウ音便
36.593,136.593,石川,ワ（ハ）行四段动词连用形的音便,ウ音便
35.471,136.777,岐爱,ワ（ハ）行四段动词连用形的音便,促音便
35.01,135.755,近畿,ワ（ハ）行四段动词连用形的音便,ウ音便
33.955,135.739,十津川,ワ（ハ）行四段动词连用形的音便,ウ音便
34.094,134.578,东四国,ワ（ハ）行四段动词连用形的音便,ウ音便
33.544,133.508,南四国,ワ（ハ）行四段动词连用形的音便,ウ音便
33.815,132.732,西四国,ワ（ハ）行四段动词连用形的音便,ウ音便
34.374,132.439,中国,ワ（ハ）行四段动词连用形的音便,ウ音便
33.163,131.671,东北九州（两丰）,ワ（ハ）行四段动词连用形的音便,ウ音便
32.334,131.605,东南九州（日向）,ワ（ハ）行四段动词连用形的音便,ウ音便
32.779,130.714,西九州（肥筑）,ワ（ハ）行四段动词连用形的音便,ウ音便
31.498,130.946,南九州（萨隅）,ワ（ハ）行四段动词连用形的音便,ウ音便
28.358,129.396,北琉球（奄美）,ワ（ハ）行四段动词连用形的音便,ウ音便
26.22,127.715,北琉球（冲绳）,ワ（ハ）行四段动词连用形的音便,ウ音便
24.794,125.293,南琉球（宫古）,ワ（ハ）行四段动词连用形的音便,ウ音便
24.345,124.159,南琉球（八重山）,ワ（ハ）行四段动词连用形的音便,ウ音便
41.286,141.212,下北半岛,形容词连用形发生音便,否
40.195,141.762,东岩手,形容词连用形发生音便,否
35.196,133.449,出云周边（东）,形容词连用形发生音便,ウ音便
35.034,132.381,出云周边（西）,形容词连用形发生音便,ウ音便
40.142,140.804,北东北,形容词连用形发生音便,否
38.244,140.94,南东北,形容词连用形发生音便,否
36.378,140.457,东关东,形容词连用形发生音便,否
35.3606 ,132.7739 ,中央出云,形容词连用形发生音便,ウ音便
34.7431 ,139.2376 ,北部伊豆,形容词连用形发生音便,否
33.066,139.813,八丈,形容词连用形发生音便,否
35.419,139.629,西关东,形容词连用形发生音便,否
35.699,140.851,房总半岛,形容词连用形发生音便,否
37.362,138.553,越后,形容词连用形发生音便,否
36.398,138.251,长山东静,形容词连用形发生音便,否
34.763,137.874,西静冈,形容词连用形发生音便,否
36.699,137.205,富山,形容词连用形发生音便,ウ音便
36.593,136.593,石川,形容词连用形发生音便,ウ音便
35.471,136.777,岐爱,形容词连用形发生音便,ウ音便
35.01,135.755,近畿,形容词连用形发生音便,ウ音便
33.955,135.739,十津川,形容词连用形发生音便,ウ音便
34.094,134.578,东四国,形容词连用形发生音便,ウ音便
33.544,133.508,南四国,形容词连用形发生音便,ウ音便
33.815,132.732,西四国,形容词连用形发生音便,ウ音便
34.374,132.439,中国,形容词连用形发生音便,ウ音便
33.163,131.671,东北九州（两丰）,形容词连用形发生音便,ウ音便
32.334,131.605,东南九州（日向）,形容词连用形发生音便,ウ音便
32.779,130.714,西九州（肥筑）,形容词连用形发生音便,ウ音便
31.498,130.946,南九州（萨隅）,形容词连用形发生音便,ウ音便
28.358,129.396,北琉球（奄美）,形容词连用形发生音便,否
26.22,127.715,北琉球（冲绳）,形容词连用形发生音便,否
24.794,125.293,南琉球（宫古）,形容词连用形发生音便,否
24.345,124.159,南琉球（八重山）,形容词连用形发生音便,否
41.286,141.212,下北半岛,形容词终止形,=i
40.195,141.762,东岩手,形容词终止形,=i
35.196,133.449,出云周边（东）,形容词终止形,=i
35.034,132.381,出云周边（西）,形容词终止形,=i
40.142,140.804,北东北,形容词终止形,=i
38.244,140.94,南东北,形容词终止形,=i
36.378,140.457,东关东,形容词终止形,=i
35.3606 ,132.7739 ,中央出云,形容词终止形,=i
34.7431 ,139.2376 ,北部伊豆,形容词终止形,=i
33.066,139.813,八丈,形容词终止形,=i
35.419,139.629,西关东,形容词终止形,=i
35.699,140.851,房总半岛,形容词终止形,=i
37.362,138.553,越后,形容词终止形,=i
36.398,138.251,长山东静,形容词终止形,=i
34.763,137.874,西静冈,形容词终止形,=i
36.699,137.205,富山,形容词终止形,=i
36.593,136.593,石川,形容词终止形,=i
35.471,136.777,岐爱,形容词终止形,=i
35.01,135.755,近畿,形容词终止形,=i
33.955,135.739,十津川,形容词终止形,=i
34.094,134.578,东四国,形容词终止形,=i
33.544,133.508,南四国,形容词终止形,=i
33.815,132.732,西四国,形容词终止形,=i
34.374,132.439,中国,形容词终止形,=i
33.163,131.671,东北九州（两丰）,形容词终止形,=i
32.334,131.605,东南九州（日向）,形容词终止形,=i
32.779,130.714,西九州（肥筑）,形容词终止形,=ka
31.498,130.946,南九州（萨隅）,形容词终止形,=ka
28.358,129.396,北琉球（奄美）,形容词终止形,=ka/=sa
26.22,127.715,北琉球（冲绳）,形容词终止形,=ka/=sa
24.794,125.293,南琉球（宫古）,形容词终止形,=ka/=sa
24.345,124.159,南琉球（八重山）,形容词终止形,=ka/=sa
